David;Aardsma
Hank;Aaron
Tommie;Aase
Don;Abad
Andy;Abadie
Fernando;Abbaticchio
John;Abbey
Ed;Abbott
Bert;Aber
Charlie;Abercrombie
Cory;Abernathie
Dan;Abernathy
Fred;Aberson
Glenn;Ables
Jeff;Abner
Jim;Abrams
Kurt;Abrego
Kyle;Abreu
Ody;Abstein
Paul;Accardo
Al;Aceves
Frank;Acevedo
Reggie;Achter
Bill;Acker
Brent;Ackley
Ted;Acosta
Woody;Acre
Cliff;Acta
Harry;Acuna
Shawn;Adair
Cal;Adames
George;Adam
Johnny;Adams
Albert;Adamson
Bobby;Adcock
Bryan;Addis
Joe;Adduci
Jose;Addy
Juan;Adell
Tony;Adenhart
Winston;Aderholt
Jeremy;Adkins
Alfredo;Atkinson
Domingo;Adleman
A. J.;Adlesh
Tom;Adon
Dustin;Adrianza
Fritz;Afenir
Cy;Affeldt
Manny;Agbayani
Merito;Agee
Mark;Agganis
Ronald;Agler
Jerry;Agnew
Jimmy;Agosto
Cristhian;Agrazal
Willy;Aguayo
Jason;Aguila
Ace;Aguilar
Austin;Aguilera
Babe;Aguirre
Bob;Ahearn
Buster;Ahearne
Chance;Ahmed
Dick;Aikens
Doug;Ainge
Herb;Ainsmith
Joel;Ainsworth
Karl;Aitchison
Lane;Aiton
Matt;Ake
Mike;Akerfelds
Red;Aker
Rick;Akers
Ricky;Akin
Riley;Akiyama
Russ;Alaniz
Ryan;Alba
Sparky;Albaladejo
Spencer;Albanese
Terry;Albers
Willie;Alberts
Nathan;Alberto
Jo;Alberro
Nick;Albies
Morrie;Albosta
Dewey;Albrecht
Doc;Albright
Grady;Alburquerque
Jon;Albury
Steve;Alcala
Tim;Alcantara
Dave;Alcaraz
Joan;Alcock
Ehire;Alderson
Troy;Aldrete
Benny;Aldred
Sam;Aldridge
Dario;Aldrich
Luis;Aleno
Chris;Alexander
Jesus;Alexy
Miguel;Alfaro
Pat;Alfonseca
Danny;Alfonzo
Eddie;Alford
Raleigh;Alicea
Darrel;Allanson
Jack;Allard
Keegan;Allen
Shogo;Allenson
R. J.;Allensworth
Gibson;Alley
Jonathan;Allgeyer
Andrew;Allietta
Butch;Allie
Gus;Allison
Hanser;Allred
Ozzie;Almada
Vic;Almanza
Jorge;Almanzar
Santo;Almeida
Arismendy;Almonte
Israel;Almon
Raul;Almora
Sandy;Aloma
Sergio;Alomar
Victor;Alonso
Scotty;Alou
Dale;Alpermann
Scott;Alston
Jay;Altamirano
Chuck;Altavilla
Doyle;Alten
Gary;Altenburg
Gerald;Altherr
Hugh;Altizer
Nin;Altman
Pete;Altobelli
Tyler;Altrock
Walt;Altuve
Antonio;Alusik
Edgardo;Alvarez
Eliezer;Alvarado
Anthony;Alvis
Brian;Alvord
Kolby;Alyea
Bernie;Alzolay
Brandon;Amalfitano
Chad;Amaral
Cody;Amarista
Dusty;Amaro
Ethan;Ambler
Greg;Ambres
Ham;Ambriz
Hezekiah;Amburgey
Horace;Amelung
Jamie;Ames
Jermaine;Amezaga
Kim;Amole
Lloyd;Amoros
Logan;Amor
Luke;Ancker
Myron;Anderson
Neil;Andersen
Ron;Andino
Rod;Andrade
Sled;Andrews
Gene;Andres
Gair;Andre
Art;Andreoli
Dana;Andrew
Mack;Andriese
Milo;Andrus
Beau;Andujar
Mel;Angelini
Armando;Angle
Carlos;Angley
Rafael;Ankenman
Abraham;Ankiel
Edwin;Anna
Erick;Annis
Hector;Anson
Yency;Anthony
Zoilo;Antolin
Roberto;Antolick
Yonder;Antonello
Felipe;Antonelli
Matty;Antone
Moises;Aoki
Whitey;Aparicio
Dell;Apodaca
Garvin;Aponte
Walter;Apostel
Porfi;Appier
Ernie;Appleton
Jesse;Applegate
Aaron;Appling
Abe;Aquino
Clemente;Aragon
Dariel;Arano
Eddy;Araujo
Gabe;Arauz
Henderson;Archdeacon
Orlando;Archer
Ossie;Archie
Pedro;Arcia
Rogelio;Ardell
Tavo;Ardizoia
Wilson;Ardner
Yordan;Ardoin
Max;Arellanes
Billy;Arenado
Brant;Arencibia
Adbert;Arft
Joey;Arias
Rich;Arihara
Alexi;Arlett
Ruben;Arlich
Wayne;Arlin
Chip;Armas
Trey;Armbruster
Vicente;Armbrister
Alf;Armbrust
Allan;Armenteros
Brady;Armour
Brett;Armstrong
Bud;Arndt
Chase;Arnold
Craig;Arnovich
Drew;Arnsberg
Dwain;Arntzen
Ferrell;Arocha
Garret;Aro
Goat;Arozarena
Hal;Arraez
Ian;Arredondo
Josh;Arrieta
Justin;Arrigo
Kent;Arrojo
Larry;Arroyo
Lars;Arruebarrena
Marlon;Arteaga
Shaun;Arundel
Tanner;Asadoor
Varney;Asbell
Wingo;Asbjornson
Robert;Ascanio
Clayton;Asche
Elbert;Asencio
Hub;Ashburn
Ivy;Ashby
Nate;Asher
Rob;Ashford
Shane;Ash
Stan;Ashley
Wally;Asmussen
Elvis;Aspromonte
Wyman;Asselstine
Joaquin;Assenmacher
Norm;Astacio
Dean;Astin
Cap;Astroth
Eric;Astudillo
Tejay;Asuaje
Nori;Atchison
Sherten;Atchley
Kevin;Atherton
Aristides;Atilano
Jayson;Atkins
Angel;Attreau
Maurice;Atwell
Francisco;Atwood
Oswaldo;Atz
Rugger;Aubrey
Nolan;Aucoin
J. P.;Aude
Alex;Auerbach
Alberto;Augenstein
Rudy;Augustine
Kohei;August
Buzz;Auker
Marcos;Aulds
Orville;Ault
Howard;Aumont
Brad;Aurilia
Orie;Ausanio
Rene;Ausmus
Randy;Aust
Jake;Austin
Gerry;Autry
Rolando;Avelino
Bronson;Aven
Christian;Averill
Erisbel;Avery
Humberto;Avila
Tug;Avilan
Casper;Aviles
Richie;Avrea
Alan;Axelrod
Alec;Axford
Tucker;Ayala
Ken;Aybar
Nevin;Aydelott
Ezequiel;Ayers
Barrett;Aylward
Willians;Ayrault
Keith;Azcue
Garrett;Azocar
James;Babb
Lefty;Babcock
Mitch;Babe
Tommy;Babich
Toby;Babington
Chub;Babitt
Michael;Backe
Derek;Backman
Elden;Bacon
Tex;Bacsik
Phillippe;Bacus
Dennis;Baczewski
Henry;Baddoo
Chick;Badenhop
Abiatal;Bader
Bruce;Badgro
Earl;Baecht
Xavier;Baek
Ramon;Baerga
Dylan;Baez
Oscar;Bagby
Loren;Bagwell
Shooty;Bahnsen
Les;Bahr
Dakota;Bahret
Akil;Baichley
Burke;Bailey
Harrison;Bailes
King;Bailor
Cha-Seung;Baines
Benito;Bain
Danys;Baird
Javier;Bair
Michel;Baisley
Grover;Bajenaru
Harvey;Bakley
Homer;Bakenhaster
Roger;Baker
Sweetbread;Bako
Harold;Balas
Jersey;Balaz
Bock;Balboni
Del;Balcena
Floyd;Baldelli
Home Run;Baldonado
Kirtley;Baldschun
Neal;Baldwin
Phil;Bale
Tracy;Balenti
Rocco;Balentien
Kid;Balester
Lady;Bales
Orson;Balfour
Wladimir;Ballard
Collin;Ball
Lee;Baller
Grant;Ballenger
Pelham;Ballinger
Win;Ballou
Studs;Balsamo
Sal;Bamberger
Jett;Bancker
Wes;Bancroft
Travis;Banda
Caleb;Bando
Bret;Bandy
Jap;Bane
Turner;Baney
